forecast_time_local,V10m_Dir,V10m_Km/h,RafaleV10_Km/h,V22m_Dir,V22m_Km/h,RafaleV22_Km/h,V60m_Dir,V60m_Km/h,RafaleV60_Km/h,V70m_Dir,V70m_Km/h,RafaleV70_Km/h,T(°C),Pluie(mm),Pluie(%),Visibilite_km,Temps_sensible
2026-06-10 21:00,SO,7.432663848188915,18.403005981445315,SO,8.054193610163589,19.94189111884504,SO,8.920790497823493,22.08755356676983,SO,9.061961802319534,22.437088594064534,28.0,0.00019327799479166663,10.0,10.0,Modérément nuageux
2026-06-10 23:00,SO,5.731576710651498,15.926099395751956,SO,6.244769076142976,17.352086176452183,SO,6.964768894925585,19.35272042732864,SO,7.082521768163521,19.67991555320695,28.0,0.0012550354003906,60.0,6.0,Orages et pluies
2026-06-11 01:00,SO,11.200739754142136,18.253502655029298,SO,11.932129322610738,19.44542584251031,SO,12.932270102230412,21.0753246507064,SO,13.09319536946413,21.33757963182277,27.0,0.0032768249511718,60.0,6.0,Orages et pluies
2026-06-11 03:00,S,11.462812788433933,20.052921295166016,S,12.29891358194022,21.51558702271979,S,13.45159411825989,23.53207394437753,S,13.638027333406995,23.858218204006526,27.0,0.0033149719238281,10.0,10.0,Modérément nuageux
2026-06-11 05:00,S,11.595138476535505,20.67685146331787,S,12.511911871505609,22.31167344941823,S,13.784039469818296,24.58017532595278,S,13.990642044996951,24.94859617470356,25.0,0.0036493937174479,30.0,6.0,Averses de pluies faibles
2026-06-11 07:00,SE,12.411366157213363,20.125293159484865,SE,13.406264252991788,21.738541498767567,SE,14.78839609378303,23.97969755915951,SE,15.01302899864148,24.34394457324953,25.0,0.0042800903320312,30.0,6.0,Averses de pluies faibles
2026-06-11 09:00,S,10.266394543468897,17.578836250305176,S,10.91851339969426,18.695439605142607,S,11.808558965408684,20.21943765419065,S,11.951596053615416,20.464355725540848,25.0,0.0044606526692708,30.0,6.0,Averses de pluies faibles
2026-06-11 11:00,S,9.142535136458234,18.11152038574219,S,9.59324818827389,19.004390744372454,S,10.199043629060558,20.2044820004229,S,10.29545168683557,20.395468031942634,27.0,0.0049082438151041,20.0,8.0,Assez nuageux
2026-06-11 13:00,SO,10.886865658352797,21.7233455657959,SO,11.328511682463374,22.604593621994063,SO,11.916499703094084,23.77784838250535,SO,12.00950616097466,23.96343085296049,29.0,0.0056228637695312,10.0,,Assez nuageux
2026-06-11 15:00,SO,11.258491922498855,18.75984878540039,SO,11.776135954764658,19.62239093019379,SO,12.46938580994392,20.777542307766318,SO,12.579457401529822,20.96095287713337,28.0,0.0057245890299479,10.0,,
2026-06-11 17:00,SO,12.953028167412375,19.675527763366706,SO,13.73836883079507,20.86845283280812,SO,14.806924609855702,22.491578994959703,SO,14.97831072203112,22.751912884825444,,0.0057754516601562,10.0,,
2026-06-11 19:00,SO,15.912979297935346,24.470382499694825,SO,17.14715869913687,26.3682572757001,SO,18.856996163703663,28.9975811745684,SO,19.134405023534683,29.424170110667244,30.0,0.0057754516601562,10.0,,Modérément nuageux
2026-06-11 21:00,SO,11.742807203730104,21.5940393447876,SO,12.70430083833682,23.36214564298732,SO,14.042450873801474,25.822891528849592,SO,14.260186031602426,26.22328825534986,28.0,0.005811055501302,10.0,10.0,Modérément nuageux
2026-06-12 03:00,S,10.324553284927196,18.266602706909183,S,11.25173006922749,19.90700006750089,S,12.552904101632569,22.209087959011843,S,12.765742971979606,22.585650796930707,27.0,0.0063832600911458,10.0,10.0,Modérément nuageux
2026-06-12 09:00,SO,5.911251566410375,14.477549743652345,SO,6.408091132642356,15.694385037147756,SO,7.101145228012208,17.391779409225208,SO,7.214078163664818,17.668369260839356,25.0,0.0149561564127604,30.0,6.0,Averses de pluies faibles
2026-06-12 15:00,SO,14.20507620807618,24.448152351379395,SO,14.919070099251693,25.6769969681713,SO,15.87974155700637,27.330394796861224,SO,16.032727890929454,27.59369737578749,28.0,0.0184377034505208,10.0,,
2026-06-12 21:00,SO,12.368926883123232,25.822939109802245,SO,13.407164642689027,27.990495818650317,SO,14.85526026493586,31.01372373743391,SO,15.091209550303104,31.50632136426225,28.0,0.0204035441080729,10.0,10.0,Modérément nuageux
2026-06-13 03:00,S,11.759050333961264,20.868484497070312,S,12.74139263090917,22.611822131697817,S,14.110950833411344,25.04234188499869,S,14.334043851193844,25.43825933162726,27.0,0.0247904459635416,10.0,10.0,Modérément nuageux
2026-06-13 09:00,S,5.628265134381169,12.952539825439455,S,5.998116605221798,13.803693030056088,S,6.504095531631776,14.968121506448204,S,6.585531871595275,15.155534041471084,25.0,0.0283966064453125,30.0,6.0,Averses de pluies faibles
2026-06-13 15:00,SO,16.254830086572518,23.98238582611084,SO,17.051884053195057,25.15835971510056,SO,18.122883762092567,26.738513312624168,SO,18.29329463170487,26.989937609417115,28.0,0.0300267537434895,10.0,,
2026-06-13 21:00,SO,14.873667197536609,23.82886047363281,SO,16.10189941388235,25.796591344831192,SO,17.81253858016526,28.537178549904475,SO,18.09101275083685,28.98331749266251,28.0,0.0301310221354166,10.0,10.0,Modérément nuageux
